lat,lon
42.371933,-71.069984
42.36657,-71.06506
42.367626,-71.06558
42.3646,-71.08524
42.361694,-71.085655
42.361,-71.084656
42.363544,-71.08783
42.35954,-71.06862
42.36997,-71.06596
42.36221,-71.08423
42.368137,-71.06535
42.36127,-71.067856
42.36301,-71.07855
42.36621,-71.08728
42.36541,-71.08522
42.367725,-71.08154
42.36743,-71.06538
42.36395,-71.08342
42.37016,-71.06489
42.361076,-71.06946
42.37155,-71.078445
42.362907,-71.06559
42.37227,-71.06827
42.364185,-71.06596
42.360626,-71.06943
42.365288,-71.084274
42.365387,-71.08425
42.372475,-71.08521
42.373375,-71.07056
42.366142,-71.08671
42.369247,-71.08747
42.369984,-71.07244
42.36552,-71.08154
42.366177,-71.06484
42.36034,-71.066376
42.36659,-71.067635
42.3659,-71.085846
42.362705,-71.07165
42.371693,-71.06587
42.361107,-71.07902
42.364918,-71.07093
42.366436,-71.06798
42.3644,-71.08476
42.36607,-71.065636
42.362747,-71.06796
42.36725,-71.06917
42.37083,-71.065735
42.363365,-71.083786
42.36154,-71.07023
42.372726,-71.06872
42.362194,-71.08317
42.372112,-71.065315
42.365585,-71.08596
42.37068,-71.07595
42.372513,-71.064926
42.36042,-71.086395
42.363956,-71.0782
42.370724,-71.0657
42.364056,-71.06832
42.36658,-71.06815
42.364464,-71.08312
42.36666,-71.06829
42.3674,-71.0652
42.371323,-71.08784
42.361794,-71.07179
42.36805,-71.08617
42.36218,-71.06792
42.37355,-71.08154
42.368946,-71.07275
42.36404,-71.0874
42.37078,-71.076256
42.36392,-71.0863
42.367085,-71.06905
42.366558,-71.06689
42.37057,-71.076096
42.36138,-71.07056
42.3625,-71.070625
42.3707,-71.076904
42.36678,-71.06527
42.367657,-71.07056
42.36562,-71.06486
42.369114,-71.08154
42.371956,-71.08154
42.36218,-71.0679
42.36666,-71.06532
42.37081,-71.07435
42.3711,-71.07567
42.367157,-71.06899
42.362286,-71.083824
42.369137,-71.08662
42.362633,-71.078316
42.367947,-71.06338
42.365993,-71.06613
42.364548,-71.08528
42.361645,-71.08194
42.361984,-71.08591
42.36665,-71.07009
42.36178,-71.07056
42.362473,-71.08708
42.366936,-71.06517
42.36215,-71.07843
42.3707,-71.07385
42.36314,-71.07056
42.36703,-71.081635
42.365078,-71.08612
42.36661,-71.065216
42.369278,-71.06926
42.370262,-71.07056
42.364902,-71.08548
42.36693,-71.06588
42.369698,-71.086006
42.36077,-71.082565
42.37211,-71.07959
42.371487,-71.06718
42.367146,-71.08106
42.361332,-71.08505
42.371006,-71.08154
42.366432,-71.08782
42.360874,-71.07236
42.3638,-71.07846
42.362343,-71.07887
42.369896,-71.067276
42.371536,-71.07006
42.36396,-71.08748
42.370186,-71.07527
42.372787,-71.06765
42.36428,-71.08174
42.36434,-71.085434
42.371506,-71.06985
42.36615,-71.068474
42.370544,-71.068146
42.371822,-71.07698
42.365494,-71.08526
42.367134,-71.06952
42.36694,-71.066025
42.369965,-71.06417
42.365376,-71.06937
42.36987,-71.06676
42.36342,-71.084854
42.370823,-71.07593
42.366085,-71.06696
42.371353,-71.06593
42.36401,-71.08733
42.370033,-71.07257
42.37038,-71.06894
42.3668,-71.06742
42.361656,-71.078224
42.36926,-71.08753
42.36265,-71.08441
42.361465,-71.084404
42.367065,-71.06902
42.363827,-71.067
