start,end,speed,length,capacity
169,202,29,148.32443,19
170,171,7,20.725273,2
170,172,7,117.546555,15
173,174,7,69.90555,9
175,176,29,20.240532,2
176,177,29,36.353374,4
177,178,29,88.390045,11
178,179,29,62.298466,8
178,180,29,141.23503,18
180,195,29,18.221647,2
181,182,29,130.02975,17
182,183,29,211.84177,28
183,184,29,42.555965,5
184,185,29,64.8589,8
185,200,29,26.52037,3
185,186,29,64.61894,8
186,187,29,64.842255,8
187,188,29,53.6808,7
188,208,29,501.84964,66
189,190,29,47.48267,6
190,201,29,140.75235,18
191,199,13,22.268976,2
191,200,29,18.05674,2
191,201,29,46.2733,6
191,192,29,101.58219,13
192,193,29,127.577225,17
193,194,29,11.60278,1
193,260,13,896.8596,119
194,195,29,266.69568,35
194,261,13,821.7855,109
195,196,29,125.10043,16
196,197,13,40.711086,5
197,198,13,111.96573,14
198,199,13,497.93518,66
202,203,29,74.95637,9
203,204,29,123.36738,16
204,209,29,62.512314,8
204,205,29,73.098335,9
205,206,29,130.38924,17
206,207,29,113.06513,15
207,208,29,59.89316,7
208,214,29,123.916595,16
209,210,29,82.7355,11
210,211,29,38.403496,5
211,212,29,28.227795,3
212,213,29,132.14505,17
213,216,18,46.456955,6
213,215,13,51.427326,6
214,215,29,40.17682,5
215,220,18,33.395145,4
216,220,18,27.5785,3
216,217,18,48.593056,6
216,221,18,63.2092,8
217,241,7,22.70966,3
217,218,18,79.19262,10
218,243,7,173.92755,23
218,219,18,211.8905,28
219,253,7,123.712326,16
221,222,18,96.447685,12
222,235,7,18.758204,2
222,223,18,71.58729,9
222,243,7,101.6565,13
223,224,18,70.88038,9
223,244,7,80.20827,10
224,225,18,11.354928,1
224,231,7,14.344387,1
224,250,7,105.738556,14
225,231,7,15.110932,2
225,226,18,110.96069,14
225,254,7,106.89944,14
226,227,7,12.317037,1
226,240,7,59.437412,7
227,228,18,29.465305,3
227,229,18,40.121056,5
229,230,18,31.342827,4
230,231,18,47.03146,6
231,232,18,73.97395,9
232,233,18,33.247772,4
233,235,18,40.12781,5
233,234,18,47.96865,6
235,236,18,58.32238,7
236,237,18,35.10656,4
237,238,18,13.531044,1
238,239,18,26.334526,3
241,242,7,37.65873,5
243,246,7,60.1832,8
244,245,7,26.341295,3
244,246,7,26.328712,3
246,249,7,6.282795,1
246,247,7,63.40071,8
247,248,7,24.626436,3
248,249,7,61.240185,8
249,250,7,63.324226,8
250,251,7,136.59729,18
251,255,7,10.66461,1
251,252,7,67.480446,8
252,256,7,8.647285,1
252,253,7,68.58189,9
254,255,7,136.18324,18
255,256,7,78.76966,10
255,258,7,883.47864,117
256,257,7,69.99554,9
256,259,7,821.3753,109
260,261,29,137.66615,18
