start,end,mph,length,capacity,ms
138,129,30,48.23497,6,13
131,130,30,38.62715,5,13
132,131,30,120.21745,16,13
159,131,30,94.9947,12,13
133,132,30,148.05579,19,13
136,135,30,52.836617,7,13
137,136,30,53.84912,7,13
139,137,30,89.91959,11,13
140,138,65,25.585217,3,29
153,140,65,45.17615,6,29
158,141,65,83.95888,11,29
143,142,65,51.569572,6,29
145,144,65,64.7786,8,29
146,145,65,22.426754,2,29
147,146,65,73.39116,9,29
150,147,65,113.96703,15,29
148,147,65,91.30617,12,29
149,148,65,91.9864,12,29
148,149,65,91.9864,12,29
158,149,65,40.797924,5,29
160,149,65,94.85911,12,29
151,150,65,145.57826,19,29
147,150,65,113.96703,15,29
152,151,65,142.12305,18,29
150,151,65,145.57826,19,29
151,152,65,142.12305,18,29
154,153,65,15.098089,2,29
156,153,65,27.74895,3,29
155,154,65,45.76192,6,29
159,158,65,37.755863,5,29
157,158,15,16.386261,2,7
149,160,15,94.85911,12,7
149,160,30,94.85911,12,13
160,161,15,119.48495,15,7
160,161,65,119.48495,15,29
161,162,65,87.92754,11,29
162,163,65,118.044334,15,29
163,164,65,60.277836,8,29
161,165,65,232.52725,31,29
164,165,65,54.849476,7,29
165,166,65,36.26372,4,29
165,166,65,36.26372,4,29
166,167,65,29.769905,3,29
200,167,30,17.294674,2,13
166,167,65,29.769905,3,29
169,168,65,16.818798,2,29
170,168,65,32.357502,4,29
170,169,65,34.322205,4,29
168,170,65,32.357502,4,29
171,170,65,53.663998,7,29
172,171,65,43.425087,5,29
173,172,65,209.96965,27,29
187,172,65,200.29503,26,29
186,172,65,193.69789,25,29
174,173,65,39.11841,5,29
174,173,65,39.11841,5,29
175,174,65,36.5668,4,29
175,174,65,36.5668,4,29
180,175,65,77.16658,10,29
176,175,65,181.35796,24,29
177,176,65,94.84222,12,29
178,177,30,54.49203,7,13
183,177,30,15.971931,2,13
179,178,30,79.90588,10,13
185,179,30,54.587906,7,13
181,180,65,20.725273,2,29
181,180,65,20.725273,2,29
180,182,65,117.546555,15,29
184,183,65,69.90555,9,29
182,183,30,76.55628,10,13
213,185,30,93.77872,12,13
187,186,30,20.240532,2,13
188,187,30,36.353374,4,13
189,188,30,88.390045,11,13
190,189,30,62.298466,8,13
191,189,30,141.23503,18,13
206,191,30,18.221647,2,13
192,191,30,39.065754,5,13
193,192,30,130.02975,17,13
271,193,30,89.58461,11,13
195,194,30,42.555965,5,13
196,195,30,64.8589,8,13
197,196,30,64.61894,8,13
198,197,30,64.842255,8,13
199,198,30,53.6808,7,13
167,199,30,40.988514,5,13
164,199,30,53.869686,7,13
201,200,65,47.48267,6,29
212,201,65,140.75235,18,29
203,202,65,101.58219,13,29
204,203,65,127.577225,17,29
205,204,65,11.60278,1,29
206,205,65,266.69568,35,29
207,206,65,125.10043,16,29
173,207,65,179.68526,23,29
208,207,65,40.711086,5,29
209,208,40,111.96573,14,18
210,209,40,497.93518,66,18
211,210,40,39.493053,5,18
212,211,40,46.271404,6,18
196,211,40,26.52037,3,18
202,212,40,46.2733,6,18
214,213,40,74.95637,9,18
234,214,40,123.36738,16,18
219,216,40,10.06122,1,18
216,217,40,121.7893,16,18
217,218,40,86.876854,11,18
220,219,40,123.712326,16,18
221,220,40,68.58189,9,18
215,221,40,75.53929,10,18
231,221,40,67.480446,8,18
224,222,40,173.92755,23,18
240,223,40,33.395145,4,18
265,224,40,101.6565,13,18
225,224,40,60.1832,8,18
226,225,40,6.282795,0,18
227,225,40,63.40071,8,18
