id,amount
10,10
43,20
44,10
70,10
72,20
79,10
84,10
105,30
107,10
109,20
120,20
121,20
123,10
135,10
138,60
142,10
144,10
145,10
155,30
159,10
162,10
190,10
191,10
208,10
209,10
209,10
210,10
215,10
222,20
223,10
224,10
227,10
228,10
233,20
248,10
254,20
273,10
