start,end,speed,length,capacity
158,159,65,16.818798,2
159,160,65,34.322205,4
160,161,65,53.663998,7
161,162,65,43.425087,5
162,163,65,209.96965,27
162,175,65,193.69789,25
163,164,65,39.11841,5
164,165,65,36.5668,4
165,166,65,181.35796,24
166,167,65,94.84222,12
167,168,65,54.49203,7
167,173,65,15.971931,2
168,169,65,79.90588,10
169,202,65,148.32443,19
170,171,15,20.725273,2
170,172,15,117.546555,15
172,73,30,676.03796,90
173,174,15,69.90555,9
175,176,65,20.240532,2
176,177,65,36.353374,4
177,178,65,88.390045,11
178,179,65,62.298466,8
178,180,65,141.23503,18
180,195,65,18.221647,2
181,182,65,130.02975,17
182,257,65,89.58461,11
182,258,65,104.7051,13
182,81,30,105.91102,14
182,183,65,211.84177,28
183,184,65,42.555965,5
184,185,65,64.8589,8
185,186,65,64.61894,8
185,200,65,26.52037,3
186,187,65,64.842255,8
187,188,65,53.6808,7
188,154,65,53.869686,7
188,157,65,40.988514,5
189,190,65,47.48267,6
190,201,65,140.75235,18
191,192,65,101.58219,13
192,193,65,127.577225,17
193,194,65,11.60278,1
194,195,65,266.69568,35
194,257,65,15.217249,2
195,196,65,125.10043,16
196,197,30,40.711086,5
197,198,30,111.96573,14
198,199,30,497.93518,66
199,191,30,22.268976,2
200,191,65,18.05674,2
201,191,65,46.2733,6
202,203,65,74.95637,9
203,220,65,123.36738,16
205,206,30,123.10066,16
206,207,30,123.712326,16
207,208,30,68.58189,9
208,218,30,67.480446,8
209,206,30,211.8905,28
210,246,30,27.5785,3
211,209,30,173.92755,23
212,211,30,60.1832,8
212,255,30,26.328712,3
213,215,30,61.240185,8
213,212,30,6.282795,0
214,212,30,63.40071,8
215,214,30,24.626436,3
216,213,30,63.324226,8
216,253,30,105.738556,14
217,216,30,15.044303,2
217,260,30,136.18324,18
218,216,30,136.59729,18
220,221,65,73.098335,9
220,241,65,62.512314,8
221,222,65,130.38924,17
222,223,65,113.06513,15
223,224,65,59.89316,7
224,225,65,123.916595,16
225,226,65,40.17682,5
226,227,65,49.20493,6
226,210,65,33.395145,4
227,228,40,26.334526,3
228,229,40,13.531044,1
229,230,40,35.10656,4
230,231,40,58.32238,7
231,251,40,18.758204,2
231,232,40,40.12781,5
232,233,40,47.96865,6
232,234,40,33.247772,4
234,235,40,73.97395,9
235,236,40,47.03146,6
235,254,40,15.110932,2
236,237,40,31.342827,4
237,238,40,40.121056,5
238,259,40,12.317037,1
238,239,40,29.465305,3
241,242,40,82.7355,11
242,243,40,38.403496,5
243,244,40,28.227795,3
244,245,40,132.14505,17
245,226,40,51.427326,6
245,246,40,46.456955,6
246,247,40,48.593056,6
247,248,40,22.70966,3
248,249,40,37.65873,5
250,246,40,63.2092,8
250,245,40,106.64111,14
251,250,40,96.447685,12
252,251,40,71.58729,9
253,252,40,70.88038,9
253,235,40,14.344387,1
255,256,40,26.341295,3
255,252,40,80.20827,10
257,83,40,725.0248,96
258,193,40,14.3086815,1
259,254,40,110.96069,14
259,240,40,59.437412,7
260,261,40,78.76966,10
261,204,40,66.90424,8
261,205,40,69.99554,9
58,67,40,75.50249,10
219,260,40,28.210705,3
63,71,40,81.617386,10
