start,end,speed,length,capacity
156,157,,29.769905,3.0
189,157,,17.294674,2.0
159,158,,16.818798,2.0
160,159,,34.322205,4.0
161,160,,53.663998,7.0
162,161,,43.425087,5.0
163,162,,209.96965,27.0
175,162,,193.69789,25.0
164,163,,39.11841,5.0
165,164,,36.5668,4.0
166,165,,181.35796,24.0
167,166,,94.84222,12.0
168,167,,54.49203,7.0
173,167,,15.971931,2.0
169,168,,79.90588,10.0
202,169,,148.32443,19.0
171,170,,20.725273,2.0
172,170,,117.546555,15.0
73,172,,676.03796,90.0
174,173,,69.90555,9.0
176,175,,20.240532,2.0
177,176,,36.353374,4.0
178,177,,88.390045,11.0
179,178,,62.298466,8.0
180,178,,141.23503,18.0
195,180,,18.221647,2.0
182,181,,130.02975,17.0
257,182,,89.58461,11.0
258,182,,104.7051,13.0
81,182,,105.91102,14.0
183,182,,211.84177,28.0
184,183,,42.555965,5.0
185,184,,64.8589,8.0
186,185,,64.61894,8.0
200,185,,26.52037,3.0
187,186,,64.842255,8.0
188,187,,53.6808,7.0
154,188,,53.869686,7.0
157,188,,40.988514,5.0
190,189,,47.48267,6.0
201,190,,140.75235,18.0
192,191,,101.58219,13.0
193,192,,127.577225,17.0
194,193,,11.60278,1.0
195,194,,266.69568,35.0
257,194,,15.217249,2.0
196,195,,125.10043,16.0
197,196,,40.711086,5.0
198,197,,111.96573,14.0
199,198,,497.93518,66.0
191,199,,22.268976,2.0
191,200,,18.05674,2.0
191,201,,46.2733,6.0
191,201,,46.2733,6.0
203,202,,74.95637,9.0
220,203,,123.36738,16.0
206,205,,123.10066,16.0
207,206,,123.712326,16.0
208,207,,68.58189,9.0
218,208,,67.480446,8.0
209,206,,211.8905,28.0
246,210,,27.5785,3.0
211,209,,173.92755,23.0
212,211,,60.1832,8.0
255,212,,26.328712,3.0
215,213,,61.240185,8.0
213,212,,6.282795,0.0
212,214,,63.40071,8.0
215,214,,24.626436,3.0
213,216,,63.324226,8.0
253,216,,105.738556,14.0
216,217,,15.044303,2.0
260,217,,136.18324,18.0
216,218,,136.59729,18.0
221,220,,73.098335,9.0
241,220,,62.512314,8.0
222,221,,130.38924,17.0
223,222,,113.06513,15.0
224,223,,59.89316,7.0
225,224,,123.916595,16.0
226,225,,40.17682,5.0
227,226,,49.20493,6.0
210,226,,33.395145,4.0
228,227,,26.334526,3.0
229,246,,68.770096,9.0
230,229,,35.10656,4.0
231,230,,58.32238,7.0
251,231,,18.758204,2.0
232,231,,40.12781,5.0
233,232,,47.96865,6.0
234,232,,33.247772,4.0
235,234,,73.97395,9.0
236,235,,47.03146,6.0
254,235,,15.110932,2.0
237,236,,31.342827,4.0
238,237,,40.121056,5.0
259,238,,12.317037,1.0
239,238,,29.465305,3.0
242,241,,82.7355,11.0
243,242,,38.403496,5.0
244,243,,28.227795,3.0
245,244,,132.14505,17.0
226,245,,51.427326,6.0
246,245,,46.456955,6.0
246,247,,48.593056,6.0
248,247,,22.70966,3.0
249,248,,37.65873,5.0
250,226,,86.68987,11.0
245,250,,106.64111,14.0
250,251,,96.447685,12.0
251,252,,71.58729,9.0
252,253,,70.88038,9.0
235,253,,14.344387,1.0
256,255,,26.341295,3.0
252,255,,80.20827,10.0
83,257,,725.0248,96.0
193,258,,14.3086815,1.0
254,259,,110.96069,14.0
240,259,,59.437412,7.0
261,260,,78.76966,10.0
204,261,,66.90424,8.0
205,261,,69.99554,9.0
58,67,,75.50249,10.0
206,203,,78.95877,10.0
206,169,,290.80234,38.0
247,209,,79.19262,10.0
219,260,,28.210705,3.0
71,63,,81.617386,10.0
