Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)"
79,189.258,189.687,278.086,250.402,179.113,181.977
80,183.59,184.195,268.034,240.765,170.65,174.225
81,179.194,180.011,257.304,231.132,164.0714,168.1274
82,195.553,195.52,307.631,279.926,195.632,195.521
83,191.81,191.824,298.223,270.521,191.654,191.727
84,194.605,194.616,297.012,273.253,194.596,194.613
85,191.428,191.44,293.607,269.941,191.417,191.436
86,188.829,188.841,290.995,267.321,188.818,188.837
87,187.33,187.759,274.414,248.228,178.499,180.856
88,179.072,179.728,262.436,236.369,168.6977,171.2773
89,175.7705,176.665,254.519,228.694,165.199,168.0455
90,174.4271,174.4392,276.606,252.94,174.416,174.435
91,171.9671,171.9795,274.081,250.466,171.956,171.976
92,167.93111,167.9436,270.035,246.428,167.92,167.9398
93,168.52304,168.53522,270.662,247.012,168.5119,168.5315
94,164.6616,164.6738,262.638,242.725,164.6503,164.67
95,160.8302,160.8573,258.795,238.892,160.8191,160.86353
96,157.996,158.034,256.238,236.424,157.9852,158.0479
97,153.215,153.272,251.9229,232.26,158.24507,158.3022
98,154.801,154.848,245.1179,225.6929,158.65494,158.7034
99,156.205,156.242,239.0951,219.8805,159.0177,159.0584
100,160.0132,160.0255,257.202,237.986,160.00188,160.0216
101,169.314,169.52985,259.807,235.077,165.1654,165.7464
102,169.1249,169.2921,262.402,237.93,165.9653,166.4121
103,162.2512,162.3503,255.245,234.985,156.6859,156.7057
104,162.6963,162.8126,254.855,234.388,156.0075,156.0455
105,164.357,164.5645,253.5404,231.814,151.2787,151.317
106,166.0042,166.3022,252.2361,229.26,154.297,154.7115
107,164.7287,164.9518,253.0666,230.985,156.9112,157.2775
108,167.993224,168.38782,250.1935,225.5192,158.36262,159.2565
109,168.030814,168.44002,250.6315,226.118,158.0103,158.8881
110,171.8536,172.5581,251.7026,225.6389,162.303,164.2388
111,169.7771,170.9068,243.53378,218.40082,161.7935,164.3215
112,169.7544,170.08373,253.7628,228.431,163.3019,164.1955
113,170.0987,170.5166,249.0387,223.2366,161.8455,162.9834
114,170.2903,170.7576,246.4085,220.3445,161.0346,162.3085
115,175.0002,175.6735,257.558,231.494,165.0238,167.3109
116,173.3648,174.3226,249.4848,223.8595,163.9194,166.5428
117,166.8416,166.9295,252.3482,241.753,166.7781,166.9198
118,157.535,157.565,251.8563,234.781,157.5128,157.808
119,154.762,154.774,251.7097,232.703,154.7517,155.0925
120,152.221,152.846,247.8643,229.143,152.112,153.6025
121,152.616,153.473,245.6357,226.9437,152.0555,153.8631
122,153.843,155.425,238.9562,220.2641,151.8793,154.6743
123,155.92,157.596,230.731,212.0387,152.6909,155.6777
124,151.655,153.33,226.466,207.773,148.426,151.412
125,162.6518,162.7397,248.1297,237.557,162.5884,162.7306
126,159.7163,159.8044,245.1742,234.618,159.65298,159.7956
127,156.725,156.813,242.162,231.622,156.6614,156.8044
128,152.082,152.095,249.0269,230.024,152.0724,152.4771
129,148.712,148.81,233.02,223.3795,149.007,151.125
130,148.101,149.101,240.6595,224.7295,148.398,151.074
131,150.108,150.932,244.96788,226.501,150.1583,152.2326
132,148.047,148.147,221.138,220.5229,148.382,150.678
133,144.08,144.808,217.158,216.5523,144.646,148.007
134,138.111,139.782,211.185,210.5812,139.024,143.987
135,133.129,135.588,206.202,205.598,134.332,140.632
136,120.409,123.987,218.923,217.2474,122.024,130.255
137,126.054,129.632,213.278,211.602,127.67,135.867
138,133.062,136.567,220.302,215.1081,134.513,141.975
139,139.968,143.138,224.629,214.4699,140.298,146.471
140,134.454,137.042,220.852,216.9149,135.594,141.53
141,145.184,146.507,230.527,223.7014,145.716,148.763
142,155.659,155.747,239.9716,230.327,155.5986,155.8238
143,146.311,147.732,237.5842,223.7876,146.795,150.129
144,145.713,147.275,236.5564,223.4728,146.26,149.813
145,143.901,145.889,233.441,222.5188,144.636,148.855
146,139.503,142.107,228.11,219.5123,140.529,146.064
147,145.947,147.551,237.2377,223.8315,146.456,149.968
148,146.626,148.103,238.5094,224.2675,147.061,150.338
149,147.338,148.195,240.3582,221.6662,146.778,148.586
150,147.09,149.913,229.092,213.8117,146.264,151.107
151,151.112,153.739,231.612,213.4401,149.6331,153.7252
152,153.449,155.594,233.498,214.8056,151.1986,154.6712
153,156.462,158.161,231.293,210.7351,152.9025,155.9392
154,158.1998,159.7554,230.617,208.6562,153.935,156.8073
155,157.757,159.6182,231.474,209.2751,153.814,156.9591
156,158.7932,160.5352,231.452,208.6255,154.466,157.4635
157,159.644,161.2879,231.434,208.092,155.0013,157.8775
158,194.372,194.343,281.774,255.348,194.408,194.341
159,193.792,193.763,281.194,254.768,193.828,193.761
160,192.609,192.579,280.011,253.584,192.645,192.578
161,190.758,190.729,276.822,250.681,190.792,190.727
162,189.259,189.231,271.164,245.91,189.288,189.229
163,182.019,181.991,263.902,238.658,182.048,181.989
164,180.669,180.642,259.156,235.39,180.694,180.64
165,179.405,179.381,250.1429,229.751,179.422,179.378
166,173.1514,173.1272,243.85955,223.4808,173.168,173.124
167,169.8809,169.85681,240.3409,220.0702,169.897,169.8539
168,168.001491,167.9778,237.7618,217.68404,168.0162,167.9748
169,165.246,165.2224,234.76,214.7501,165.2602,165.2194
170,150.234,150.852,233.238,204.643,130.475,135.717
171,147.273,147.891,230.277,201.682,127.514,132.756
172,133.441,134.06,216.446,187.85,113.682,118.925
173,169.3302,169.30606,239.7738,219.5184,169.346,169.3032
