name,lat,lon,open,close,income,id
"Aegerion Pharmaceuticals, Inc.",42.362263,-71.079605,9,5,3,
"Akashi Therapeutics, Inc.",42.3638,-71.079666,9,5,3,
"Akebia Therapeutics, Inc.",42.363758,-71.07951,9,5,3,
"Akrivis Technologies, LLC",42.363,-71.08358,9,5,3,
Alexion Pharmaceuticals,42.365986,-71.07584,9,5,3,
Alnylam Pharmaceuticals,42.365257,-71.08195,9,5,3,
AOBiome,42.362846,-71.08318,9,5,3,
Arteaus Therapeutics,42.369457,-71.07753,9,5,1,
Bank of America,42.3614,-71.06543,9,5,2,
Bank Of America,42.362103,-71.084366,9,5,2,
Bayer Diagnostics,42.36617,-71.08143,9,5,3,
Bea's Nails,42.364944,-71.066666,9,6,2,
Boston Shriners Hospital,42.36321,-71.06638,9,5,3,
Cambridge Fire Department,42.371178,-71.07878,9,5,2,
Cambridge Trust Company,42.362316,-71.08685,9,5,3,
Charles MGH,42.361164,-71.070625,9,5,3,
Charles River Park Cleaners,42.364925,-71.06657,9,5,1,
Constellation Pharmaceuticals,42.36434,-71.07875,9,5,3,
CVS,42.36201,-71.06573,9,5,2,
CVS,42.367733,-71.07618,9,9,1,
Dewey Library,42.361404,-71.08341,9,5,2,
Eastern Bank,42.362617,-71.083885,9,5,2,
Eleven Biotherapeutics,42.364185,-71.07872,9,5,3,
Facebook Boston,42.362633,-71.08366,9,5,3,
"Foundation Medicine, Inc. Headquarters",42.36721,-71.079216,9,5,3,
Fresco Flowers,42.360992,-71.06813,9,7,1,
Google,42.36277,-71.08726,9,5,3,
Harrison Lyman Library,42.367256,-71.07051,9,5,2,
Hotel Marlowe,42.367912,-71.07493,9,5,1,
"Idenix Pharmaceuticals, Inc.",42.367542,-71.087585,9,5,3,
Information Resource Center,42.362125,-71.084564,9,5,2,
InterSystems Corporation,42.3615,-71.08136,9,5,2,
Intrepid Labs,42.36622,-71.07759,9,5,3,
Jobi Liquors,42.361008,-71.06499,9,11,1,
Kendall/MIT,42.362255,-71.08623,9,5,2,
Lunder Emergency Room,42.362736,-71.0691,9,5,2,
Massachusetts Eye and Ear Infirmary Libraries,42.362633,-71.07033,9,5,2,
Microsoft ,42.36253,-71.08491,9,5,3,
Middlesex County Sheriff,42.369408,-71.0795,9,5,2,
Middlesex Law Library,42.36948,-71.0794,9,5,1,
MIT Coop,42.36268,-71.086395,9,5,1,
MIT Medical,42.36124,-71.08654,9,5,3,
MIT Press Bookstore,42.36223,-71.085945,9,7,1,
Moderna Pharmaceuticals,42.367493,-71.087395,9,5,3,
Momogoose,42.36146,-71.086205,9,6,2,
New England Sports Museum,42.367596,-71.07449,9,5,1,
Palmer-Davis Library,42.36315,-71.069496,9,5,2,
Post Office,42.362137,-71.08447,9,5,1,
Pro Optical,42.36136,-71.065956,9,6,3,
Rowland Research Institute,42.363987,-71.07783,9,5,3,
Royal Sonesta Hotel,42.36679,-71.074844,9,5,2,
Shriners Burn Institute,42.36315,-71.06672,9,5,3,
Simmons Liquor,42.361004,-71.0661,9,11,1,
Starbucks,42.363846,-71.08782,9,5,1,
Supercuts,42.360992,-71.06729,9,8,2,
TD Bank,42.36102,-71.06778,9,5,2,
Treadwell Library,42.36273,-71.06741,9,5,2,
Verizon Wireless TCC,42.36099,-71.06862,9,7,2,
Virtual Knowledge Workers,42.362743,-71.083786,9,5,3,
VMware,42.362724,-71.087234,9,5,3,
Wang Ambulatory Care Center,42.36258,-71.06825,9,5,2,
West End House,42.36169,-71.06718,9,9,2,
Wyndham Boston Beacon Hill,42.36167,-71.06663,9,5,1,
